reservation_datetime,heure,heure_int,minute,jour_semaine,season,ville,gouvernorat,zone_type,latitude,longitude,population,intensite_ville,has_beach,beach_name,periode,cause_circulation,weather_code,weathercode_raw,weather_label,weather_mult,temperature_2m,precipitation,rain,windspeed_10m,visibility,sunrise,sunset,trafic_niveau,trafic_label,demande,indice_congestion,retard_estime_min,vitesse_moy_kmh,chauffeurs_actifs,is_night,is_ramadan_slot,is_friday_slot,is_school_slot,is_prayer_slot,is_beach_hour,beach_peak_reason,beach_surge_applied,beach_surge_value,surge_multiplier,is_ramadan_last_week,is_aid_el_fitr,is_aid_adha_week,is_new_year_eve,is_new_year_days,special_event,weather_estimated
2026-04-08 10:53:26,00:00,10,53,2,printemps,Ariana,Ariana,banlieue,36.8625,10.1956,497727,4,0,,matin_normal,flux_habituel,1,3,clair,1.0,22.1,0.0,0.0,4.8,41700.0,05:54,18:47,1,faible,normal,50,1,37,44,0,0,0,0,0,0,none,0,1.0,1.43,0,0,0,0,0,none,False
2026-04-08 10:53:26,00:30,10,53,2,printemps,Ariana,Ariana,banlieue,36.8625,10.1956,497727,4,0,,matin_normal,flux_habituel,1,3,clair,1.0,22.1,0.0,0.0,4.8,41700.0,05:54,18:47,1,faible,normal,43,3,36,45,0,0,0,0,0,0,none,0,1.0,1.331,0,0,0,0,0,none,False
2026-04-08 10:53:26,01:00,10,53,2,printemps,Ariana,Ariana,banlieue,36.8625,10.1956,497727,4,0,,matin_normal,flux_habituel,1,3,clair,1.0,22.1,0.0,0.0,4.8,41700.0,05:54,18:47,1,faible,normal,49,3,37,44,0,0,0,0,0,0,none,0,1.0,1.363,0,0,0,0,0,none,False
2026-04-08 10:53:26,01:30,10,53,2,printemps,Ariana,Ariana,banlieue,36.8625,10.1956,497727,4,0,,matin_normal,flux_habituel,1,3,clair,1.0,22.1,0.0,0.0,4.8,41700.0,05:54,18:47,1,faible,normal,52,5,40,42,0,0,0,0,0,0,none,0,1.0,1.489,0,0,0,0,0,none,False
2026-04-08 10:53:26,02:00,10,53,2,printemps,Ariana,Ariana,banlieue,36.8625,10.1956,497727,4,0,,matin_normal,flux_habituel,1,3,clair,1.0,22.1,0.0,0.0,4.8,41700.0,05:54,18:47,1,faible,normal,49,2,39,46,0,0,0,0,0,0,none,0,1.0,1.313,0,0,0,0,0,none,False
2026-04-08 10:53:26,02:30,10,53,2,printemps,Ariana,Ariana,banlieue,36.8625,10.1956,497727,4,0,,matin_normal,suhoor_restaurants,1,3,clair,1.0,22.1,0.0,0.0,4.8,41700.0,05:54,18:47,1,faible,normal,44,5,36,44,0,0,0,0,0,0,none,0,1.0,1.387,0,0,0,0,0,none,False
2026-04-08 10:53:26,03:00,10,53,2,printemps,Ariana,Ariana,banlieue,36.8625,10.1956,497727,4,0,,matin_normal,flux_habituel,1,3,clair,1.0,22.1,0.0,0.0,4.8,41700.0,05:54,18:47,1,faible,normal,46,3,40,42,0,0,0,0,0,0,none,0,1.0,1.35,0,0,0,0,0,none,False
2026-04-08 10:53:26,03:30,10,53,2,printemps,Ariana,Ariana,banlieue,36.8625,10.1956,497727,4,0,,matin_normal,flux_habituel,1,3,clair,1.0,22.1,0.0,0.0,4.8,41700.0,05:54,18:47,1,faible,normal,44,5,40,45,0,0,0,0,0,0,none,0,1.0,1.314,0,0,0,0,0,none,False
2026-04-08 10:53:26,04:00,10,53,2,printemps,Ariana,Ariana,banlieue,36.8625,10.1956,497727,4,0,,matin_normal,flux_habituel,1,3,clair,1.0,22.1,0.0,0.0,4.8,41700.0,05:54,18:47,1,faible,normal,46,4,41,45,0,0,0,0,0,0,none,0,1.0,1.338,0,0,0,0,0,none,False
2026-04-08 10:53:26,04:30,10,53,2,printemps,Ariana,Ariana,banlieue,36.8625,10.1956,497727,4,0,,matin_normal,flux_habituel,1,3,clair,1.0,22.1,0.0,0.0,4.8,41700.0,05:54,18:47,1,faible,normal,46,1,40,43,0,0,0,0,0,0,none,0,1.0,1.319,0,0,0,0,0,none,False
2026-04-08 10:53:26,05:00,10,53,2,printemps,Ariana,Ariana,banlieue,36.8625,10.1956,497727,4,0,,matin_normal,flux_habituel,1,3,clair,1.0,22.1,0.0,0.0,4.8,41700.0,05:54,18:47,1,faible,normal,46,1,40,45,0,0,0,0,0,0,none,0,1.0,1.317,0,0,0,0,0,none,False
2026-04-08 10:53:26,05:30,10,53,2,printemps,Ariana,Ariana,banlieue,36.8625,10.1956,497727,4,0,,matin_normal,flux_habituel,1,3,clair,1.0,22.1,0.0,0.0,4.8,41700.0,05:54,18:47,1,faible,normal,45,0,39,42,0,0,0,0,0,0,none,0,1.0,1.395,0,0,0,0,0,none,False
2026-04-08 10:53:26,06:00,10,53,2,printemps,Ariana,Ariana,banlieue,36.8625,10.1956,497727,4,0,,matin_normal,flux_habituel,1,3,clair,1.0,22.1,0.0,0.0,4.8,41700.0,05:54,18:47,2,modéré,rush,62,7,26,97,0,0,0,0,0,0,none,0,1.0,1.53,0,0,0,0,0,none,False
2026-04-08 10:53:26,06:15,10,53,2,printemps,Ariana,Ariana,banlieue,36.8625,10.1956,497727,4,0,,matin_normal,flux_habituel,1,3,clair,1.0,22.1,0.0,0.0,4.8,41700.0,05:54,18:47,2,modéré,rush,66,8,26,100,0,0,0,0,0,0,none,0,1.0,1.565,0,0,0,0,0,none,False
2026-04-08 10:53:26,06:30,10,53,2,printemps,Ariana,Ariana,banlieue,36.8625,10.1956,497727,4,0,,matin_normal,début_journée_travail,1,3,clair,1.0,22.1,0.0,0.0,4.8,41700.0,05:54,18:47,2,modéré,rush,66,5,25,97,0,0,0,0,0,0,none,0,1.0,1.79,0,0,0,0,0,none,False
2026-04-08 10:53:26,06:45,10,53,2,printemps,Ariana,Ariana,banlieue,36.8625,10.1956,497727,4,0,,matin_normal,début_journée_travail,1,3,clair,1.0,22.1,0.0,0.0,4.8,41700.0,05:54,18:47,2,modéré,rush,61,5,25,99,0,0,0,0,0,0,none,0,1.0,1.67,0,0,0,0,0,none,False
2026-04-08 10:53:26,07:00,10,53,2,printemps,Ariana,Ariana,banlieue,36.8625,10.1956,497727,4,0,,matin_normal,pic_absolu_matin,1,3,clair,1.0,22.1,0.0,0.0,4.8,41700.0,05:54,18:47,3,élevé,surge,90,19,15,99,0,0,0,0,0,0,none,0,1.0,2.409,0,0,0,0,0,none,False
